sentense_clean,my_ent_1,their_ent_1,my_ent_2,their_ent_2,label
"” Breitbart News has now reached out to the Trump campaign twice to ask if he would be comfortable with a Ivanka going into a bathroom at Target in which there was a man wearing a dress, but has yet to receive a response.",Trump,Breitbart New,Ivanka,Trump,0
"Phoebe Nora Mary Prince, 15, committed suicide on Jan. 14The criminal charges filed against six students Monday in connection with the bullying of the 15-year-old high school student Phoebe Prince, who killed herself in January, took the town of South Hadley, Mass., by surprise.",Phoebe Nora Mary Prince,Phoebe Prince,Phoebe Prince,Mass.,0
"Notably, the department says about 30 emails that may be related to the 2012 attack on U. S. compounds in Benghazi, Libya, are among the thousands of emails recovered.",U. S.,Notably,Benghazi,Benghazi,0
"But Portland's city code prohibits persons from soliciting or conducting any business in a park unless ""expressly permitted under the terms of a lease, concession or permit.""""We totally understand the rule,"" Root's father, Ashton, told OregonLive.com.",Root,Portland,Ashton,OregonLive.com,0
FORMER Jacksonville tackle Tony Boselli thinks the Jaguars can challenge for the AFC South title this season if they can address their offensive problems.,Tony Boselli,Jacksonville,they,AFC,0
President Donald Trump detailed his America First agenda to Republican congressional leaders attending the annual Republican congressional retreat in Philadelphia.,President Donald Trump,America,Republican,Philadelphia,0
"But he said Boehner wont even let the bill get a yes-or-no vote because he doesnt want to anger the extremists in his party.At the heart of their opposition, he said, is the Republican obsession with dismantling the Affordable Care Act and thereby denying health-insurance coverage to millions of Americans.",he,Boehner,Boehner,American,0
"- China will levy extra tariffs on out-of-quota sugar imports from all origins starting from Aug. 1, the Commerce Ministry said on Monday, just over a year after introducing hefty penalties on top growers including Brazil and Thailand.",China,China,the Commerce Ministry,Thailand,0
"Ministers accused of eroding NHS funding, as one in four people at A&E are there because they could not see a GP in timeSo",NHS,NHS,A&E,GP,0
"GETTY Martin McGuinness (left) with Gerry Adams, who made controversial remarks after Mountbatten's deathAt the time, the organisation released a statement saying: ""The IRA claim responsibility for the execution of Lord Louis Mountbatten.",Martin McGuinness,Gerry Adam,Gerry Adams,Lord Louis Mountbatten,0
"One evening in February, a man entering the subway at Barclays Center in Brooklyn was detained by the police for using a discounted student MetroCard ",man,Brooklyn,police,MetroCard,0
Mars reaches its closest approach to Earth for 11 years this evening at 21:35 GMT.,None,Mar,None,Earth,0
"This morning on Fox, Donald Trump professed himself “surprised” that House Speaker Paul Ryan has now said he is not yet ready to endorse the Donald.",Donald Trump,Donald Trump,Paul Ryan,himself,0
"On the Thursday edition of Breitbart News Daily, broadcast live on SiriusXM Patriot Channel 125 from 6AM to 9AM Eastern, Breitbart London Raheem Kassam will continue our discussion the first 100 days of the Trump administration.",Raheem Kassam,Breitbart News Daily,Trump,Trump,0
The Tony and Grammy award winner said in an open letter she would no longer be performing at an official Trump inauguration concert on Thursday and that her decision to accept an invitation had been “a lapse of judgement”. ,she,Tony,Trump,Trump,0
"Sir John Sunderland, head of its pay committee, was even re-elected with a traditional Mugabe-style majority of 96%.The exception on the list is AstraZeneca, where 31% failed to back the pay policy on the binding vote.",John Sunderland,John Sunderland,Mugabe,AstraZeneca,0
"As noted above, his confirmation (he was unanimously confirmed by the Senate to his current position as a federal judge) might be necessary to get final approval of Trump’s travel ban, but the Democratic appointees on the Supreme Court are a great deal more substantial as jurists than the poltroon who gained his 15 minutes of world fame by starting this controversy.",he,Senate,Trump,Democratic,0
"Jalloh’s sister, Fatmatu Jalloh, said she hadn’t seen the charge against her brother but denied he would be helping the Islamic State.",Jalloh,Fatmatu Jalloh,Fatmatu Jalloh,the Islamic State,0
"President’s warning, Hadi slipped out of Yemen last week and has gone to the resort town of Sharm Egypt, to attend the Arab League summit, where he is rallying support with leaders of member nations for operation Determination Storm. ",President,’,Hadi,Determination Storm,0
When the floor exercise judges validated what Raisman and every other gymnast has known for years that Biles is the greatest of her generation and perhaps of all time the U. S. Olympic team captain let her good friend go. ,Raisman,Raisman,Biles,Bile,0
"CSOSA, citing federal privacy laws, declined to answer questions about Pitt’s time in prison.",CSOSA,CSOSA,Pitt,Pitt’,0
"Emboldened by a private primary poll commissioned by EMILY's List, Schwartz has hired Obama campaign veteran Reesa Kossoff as communications director for her political operation and plans to open a state-level campaign account early next month, a source close to the five-term congresswoman said...",Schwartz,EMILY,Obama,Reesa Kossoff,0
"Late Monday evening, health insurer Aetna confirmed a major pullback from Obamacare’s exchanges for 2017.",Aetna,Aetna,Obamacare,Obamacare’,0
"As if that weren't enough excitement for the new year, around a week after Ofcom gives its recommendations, Stephen Carter, the communications minister, will publish his initial report on Digital Britain.",Stephen Carter,Ofcom,minister,Digital,0
"America belongs to immigrants because immigrants make the nation more powerful, says a former Wall Street Journal writer who is now working for the New York Times.",immigrants,America,immigrants,the New York Time,0
" On Wednesday, Transparency International (TI) the world’s leading organization, is publishing its annual Corruption Perceptions Index (CPI).",Transparency International,Transparency International,None,TI,0
"A Chicago-based hedge fund manager James Litinsky of JHL Capital put this argument in a presentation called ""Conglomerate Boom 2.0: A Stable Platform?"" and everyone started freaking out about it",James Litinsky,Chicago,JHL Capital,James Litinsky,0
"Xu Shuaijun, a 35-year-old cook from northern China's Hebei province, departed from coastal Fujian province on Wednesday and flew for nearly seven- and-a-half hours before his balloon hit turbulence and suffered a mechanical breakdown.",Xu Shuaijun,Xu Shuaijun,China,Fujian province,0
"Sen. Lindsey Graham (R-S.C.) plans to block two of President Barack Obama's top national security nominees until he gets answers from the White House on the terrorist attack in Benghazi, Libya.",Lindsey Graham,S.C.,Barack Obama,Libya,0
"Although it has surpassed that high, its current price-to-book ratio is only 0.96.South Korean stocks' valuation also contrasts with the most expensive markets, India and Philippines, at 2.6 and 2 times book value, respectively.",India,Korean,Philippines,India,0
The ICC has been heavily criticized by the African Union (AU) and other political interests on the continent for their exclusive targeting of several government leaders such as President Omar Hassan al-Bashir of the Republic of Sudan.,ICC,ICC,the African Union,the Republic of Sudan,0
"When six executives of Platinum Partners, including founder Mark Nordlicht, were arrested on Monday on federal charges of running a more than $1 billion hedge fund fraud, people who had long alleged they were harmed by the New firm felt some vindication.",Mark Nordlicht,charge,they,more than $1 billion,0
"Before Democrats burn James Comey in effigy, they should think about how the FBI director came to have an outsized influence in the election in the first place.",James Comey,Democrat,they,FBI,0
How Sanders supporters can revolutionize the Democratic Party ,Sanders,Sander,the Democratic Party,the Democratic Party,0
Trump has argued that a wall along the U. S. border is needed to stem the flow of illegal immigrants and drugs into the United States.,Trump,Trump,immigrants,U. S.,0
Donald Trump’s supporters in Congress are urging him not to bring up Bill Clinton’s personal infidelities as he looks to rebound after the first presidential debate. ,Donald Trump’s,Congre,Bill Clinton’s,Bill Clinton’,0
 The commutes of hundreds of thousands of residents will be upended when Metro General Manager Paul J. Wiedefeld on Friday unveils his plan for a massive overhaul of the struggling rail system.,Metro,Metro General,Paul J. Wiedefeld,Paul J. Wiedefeld,0
"As the Kazakh character Borat Sagdiyev, who originated in segments on “Ali G,” Baron Cohen performed a song in an Arizona dive bar the chorus of which was “Throw the Jew down the well,” which the audience eventually joined in singing along with him.",Borat Sagdiyev,Ali G,Baron Cohen,Arizona,0
"A recent story by the Washington Post covered the decline of users on Vine, and spoke to the top users who abandoned it.",the Washington Post,the Washington Post,None,Vine,0
White House adviser Kellyanne Conway said in an interview with MSNBC’s Chris Matthews on Thursday that Trump’s executive order was justified in part by the ”Bowling Green massacre” of 2011.,Kellyanne Conway,Trump’,Chris Matthews,the ”Bowling Green,0
"Wednesday on Fox News Channel’s “Hannity,” in contentious interview with host Sean Hannity, former Mexican President Vicente Fox declared Republican presidential candidate Donald Trump believed in “white supremacy. ” ",Sean Hannity,Fox News Channel’,Vicente Fox,Mexican,0
"” Kevin Lewis, the chief executive at Maine Community Health Options, said that its 19. 6 percent increase in 2018 arises from healthy people exiting the Obamacare markets.",Kevin Lewis,Maine Community Health Option,Maine Community Health Options,Obamacare,0
FOX NEWS reports: A U. S. Navy destroyer had another close encounter with an Iranian Revolutionary Guard “fast attack craft” in the Persian Gulf Monday.,FOX NEWS,U. S. Navy,U. S. Navy,the Persian Gulf,0
Funding secured by all accounts referenced the discussions Mr. Musk had with the Saudi wealth fund which could fund the deal and lead him to believe they were agreeable.,Musk,Musk,him,Saudi,0
"Of nine GOP candidates tested, Huckabee topped everyone among Republicans over age 65 with 67 percent support, although Rubio and Walker were hot on his heels in that demographic.",Huckabee,GOP,Rubio,Republican,0
"is back again, this time in the form of radio ads attacking Republican presidential candidates Sen. John McCain and Mitt Romney for criticizing the flag.",John McCain,Republican,Mitt Romney,John McCain,0
"Niu Dun, Chinas vice agriculture minister, said in December that Viptera corn could not be accepted because it had not been approved by the ministry for import.",Niu Dun,China,minister,Viptera,0
 Republican presidential nominee Donald Trump said Tuesday that he had accepted an invitation to visit Mexico from President Enrique Pena Nieto ahead of his immigration policy speech in Arizona.,Donald Trump,Republican,Enrique Pena Nieto,Mexico,0
"Movie critic and ""Fox and Friends"" regular Kevin McCarthy has been a victim of mistaken identity ever since the GOP congressman who shares his name became the frontrunner for House Speaker.",Kevin McCarthy,GOP,GOP,House,0
"Gundlach had warned last month that federal programs take time to implement, rising mortgage rates and monthly payments are not positive for the ”psyche of the middle class and broadly,” and supporters of defeated White House candidate Hillary Clinton are not in a mood to spend money.",Gundlach,Gundlach,White House,Hillary Clinton,0
"Christina Baker Kline’s Orphan Train has collided with the circus caravan from Sara Gruen’s Water for Elephants, and out of that wreck has come Pam Jenoff’s The Orphan’s Tale.",Christina Baker Kline’s,Water for Elephant,Sara Gruen’s,come,0
STORIES NUMB SKULL Katy Perry makes a 'laughing stock' of herself with giant-skeleton dig at Theresa May and Donald Trump 'WE'LL ALWAYS BE 1D' One Direction's Liam Payne makes surprise appearance at the BRIT Awards 2017 BRITS STAGE FAIL Hilarious moment Katy Perry's backing dancer falls off stage during BRITs performance WISH,Katy Perry,Katy Perry,Theresa May,Direction,0
"and, considering the array of both subtle and obvious messages in Senator McCain's laughable Britney & Paris commercial, vacuous, frivolous, loopy, superficial, ""Hollywood"" and, I don't know, he produces amateur porn videos using night vision.",Senator McCain,McCain,I,Britney & Pari,0
Seattle Seahawks cornerback Richard Sherman believes Colin Kaepernick is being blackballed by NFL teams for his political protest last season.,Richard Sherman,Seattle,Colin Kaepernick,Colin Kaepernick,0
"Texas Land Commissioner and Jeb’s son, George P. Bush, has also been cagy about whether or not he will support Donald Trump.",Jeb,Jeb’,George P. Bush,Donald Trump,0
"On Friday’s broadcast of MSNBC’s “Morning Joe,” filmmaker Michael Moore stated that “millions” of people who voted for Obama changed their minds and voted for Trump, and “",Michael Moore,MSNBC,Obama,Michael Moore,0
"But Bill has been less visible than in 2008, when he marred the campaign (and his own reputation) by calling Obama’s message a “fairytale” and drew criticism for suggesting “white Americans” were turning away from his campaign.",Bill,Bill,Obama,American,0
Manchin’s decision to support Tillerson essentially guarantees full U. S. Senate approval of the energy executive to serve as Secretary of State whenever the vote occurs.,Manchin,Tillerson,Tillerson,U. S. Senate,0
"At a sweltering refugee camp on the border, dozens of Somalis who had cleared all the final security and medical checks to enter the United States were told to prepare themselves for a flight to a new life.",Somalis,Somali,the United States,the United State,0
"So the Times has apparently made it the newspaper's mission to make the agency's work much more difficult and far more dangerous by publicly identifying the man in charge of its covert operations in the Persian country,"" the group said.",man,Time,Persian,Persian,0
The GOP is paralyzed by discussions of “entitlement reform” while anxious Americans worry more about the balance of their savings account than balancing the national budget.,GOP,GOP,Americans,American,0
"And Democrats, who are situational ethicists regarding money in politics, provided Ossoff enough to enable him to provide free Lyft rides for some primary voters.",Ossoff,Democrat,him,Ossoff,0
"Now, Garcia de Rayos’ deportation is routinely used by the open borders lobby to advocate in favor of illegal immigration, as Breitbart News reported.",Garcia de Rayos’,Garcia de Rayo,Breitbart News,Breitbart New,0
"Attorney General Jeff Sessions and Secretary of Education Betsy DeVos clashed over a draft executive order regarding protections for transgender students in public schools, according to a report published Wednesday by the New York Times.",Jeff Sessions,Jeff Session,Betsy DeVos,the New York Time,0
"Theresa May’s new ally in government, Northern Ireland’s Democratic Unionist party, is in favour of a soft Brexit, wishes to maintain a porous border with the Irish republic but also holds illiberal positions on abortion and gay rights.",Theresa May’s,Theresa,Irish,Brexit,0
"We can only hope that Scott Morrison's criticism of Gillian Triggs is part of a move to undermine the AHRC, and not a genuine reflection of a belief that people can forfeit a right to a fair go, writes Michael Bradley.",Scott Morrison's,Scott Morrison,Gillian Triggs,AHRC,0
 It has been many years since a witness appeared on Capitol Hill and put a president in such potential jeopardy as former FBI director James B. Comey did Thursday. ,president,FBI,James B. Comey,James B. Comey,0
" LAST MONTH, on the very day the State Department cautioned Americans on the dangers of traveling to Haiti, the Trump administration warned more than 50, 000 Haitians living legally in the United States that they may be forced to return home en masse next January because conditions in their native country had improved so markedly.",administration,the State Department,they,the United State,0
